'model','brand','line','plant','quote_reference','remarks','meta_series_series'
KDP18UX,Yale,#4,Maximal,'2023-978228','',
KDP25UX,Yale,#5,Maximal,'2023-978228','',
KDP35UX,Yale,#6,Maximal,'2023-978228','',
H10XD12,Hyster,#6,Nijmegen,'2023-965008','Yale serial unable to create quote in NOVO System, PB still active','007'
BE100ZHD,Hyster,#7,Greenville,'','','244'
MPR100VG,Yale,#7,Greenville,'2023-959738','','285'
BE80ZHD,Hyster,#6,Greenville,'','','244'
ERC080VH,Yale,#1,Greenville,'2023-958042','','938'
R1.0E,Hyster,#1,Masate,'2023-959730','','432'
MR10E,Yale,#1,Masate,'2023-964947','','942'
S120FTS,Hyster,#9,Berea,'2023-972047','','004'
GC120VXPRS,Yale,#9,Berea,'2023-965042','','818'
S80FT,Hyster,#3,Berea,'2023-972055','','004'
GC080VX,Yale,#3,Berea,'2023-965042','','818'
MPR080VG,Yale,#6,Greenville,'2023-959738','','285'
T3.0UTS,Hyster,#2,Ruyi,'2023-965015','','3C8'
MT30XUX,Yale,#2,Ruyi,'2023-978250','','3C8'
T3.0UT,Hyster,#3,Ruyi,'2023-965015','','3C9'
MT30UX,Yale,#3,Ruyi,'2023-978250','','3C9'
H5.0UT6,Hyster,#1,Maximal,'2023-965015','','3D0'
GP50UX6,Yale,#1,Maximal,'2023-978228','','3D0'
H6.0UT6,Hyster,#2,Maximal,'2023-965015','','3D0'
GP60UX6,Yale,#2,Maximal,'2023-978228','','3D0'
H7.0UT6,Hyster,#3,Maximal,'2023-965015','','3D0'
GP70UX6,Yale,#3,Maximal,'2023-978228','','3D0'
P1.5UT,Hyster,#5,Ruyi,'2023-965015','','3D1'
MP15UX,Yale,#5,Ruyi,'2023-978250','','3D1'
PC1.5,Hyster,#1,Staxx,'2023-965015','','6W9'
MPC15,Yale,#1,Staxx,'2023-978256','','3D4'
P2.0S,Hyster,#1,Masate,'2023-968410','','439'
MP20X,Yale,#1,Masate,'2023-964982','','843'
P2.5S,Hyster,#2,Masate,'2023-968410','','439'
MP25X,Yale,#2,Masate,'2023-964982','','843'
P3.0S,Hyster,#3,Masate,'2023-968410','','439'
MP30X,Yale,#3,Masate,'2023-964982','','843'
R30XMA3,Hyster,#4,Greenville,'','','185'
SS030BF,Yale,#4,Greenville,'2023-959213','','474'
R30XMF3,Hyster,#1,Greenville,'','','169'
FS030BF,Yale,#1,Greenville,'2023-959213','','497'
P2.0UT,Hyster,#1,Ruyi,'','','3B0'
MP20KUX,Yale,#1,Ruyi,'2023-978237','','7R0'
P2.0UTS,Hyster,#2,Ruyi,'2023-958568','','3B1'
MP20XUX,Yale,#2,Ruyi,'2023-978237','','7R1'
S1.5UTS,Hyster,#4,Ruyi,'2023-958568','','3B3'
MS15XUX,Yale,#4,Ruyi,'2023-978237','','7R3'
P2.0UTE,Hyster,#3,Ruyi,'2023-958568','','3B5'
MP20UX,Yale,#3,Ruyi,'2023-978237','','7R5'
SL1.5UT,Hyster,#5,Ruyi,'2023-958568','','3B6'
MSL15WUX,Yale,#5,Ruyi,'2023-978237','','7R6'
SL1.5UTS,Hyster,#6,Ruyi,'2023-958568','','3B7'
MSL15XUX,Yale,#6,Ruyi,'2023-978237','','7R7'
F1.8UT4,Hyster,#7,Maximal,'2023-958568',Std is without 4 wheel drive unable to change in NOVO,'3B8'
KDP18UX4,Yale,#7,Maximal,'2023-978228',Std is without 4 wheel drive unable to change in NOVO,'7R8'
F2.5UT4,Hyster,#8,Maximal,'2023-958568',Std is without 4 wheel drive unable to change in NOVO,'3B8'
