'order_no','comment','ctry_code','currency','date','dealerpo','order_type','region','truck_class','apac_serial_model','bill_to_billto_code'
H07813,'',AU,AUD,2023-02-22,STOCKMAR23-1,R,P,5,,
H07814,'',AU,AUD,2023-02-22,STOCKMAR23-2,R,P,5,,
H07815,'',AU,AUD,2023-02-22,STOCKMAR23-3,R,P,5,,
H07816,'',AU,AUD,2023-02-22,STOCKMAR23-4,R,P,5,,
F80206,'',TH,USD,2022-12-01,TH2022/8401,R,A,3,P2.0S,6065
F80207,'',TH,USD,2022-12-01,TH2022/8402,R,A,3,P2.0S,6065
F80208,'',TH,USD,2022-12-01,TH2022/8403,R,A,3,P3.0S,6065
F80209,'',TH,USD,2022-12-01,TH2022/8404,R,A,2,R1.6,6065
F80210,'',TH,USD,2022-12-01,TH2022/8405,R,A,3,S1.5UTS,6065
F80211,'',TH,USD,2022-12-01,TH2022/8406,R,A,3,S1.5UTS,6065
F80480,'',TH,USD,2022-12-03,TH2022/8407,R,A,1,J1.5UT,6065
F80481,'',TH,USD,2022-12-03,TH2022/8408,R,A,1,J1.5UT,6065
F80482,'',TH,USD,2022-12-03,TH2022/8409,R,A,1,J2.5UT,6065
F80483,'',TH,USD,2022-12-03,TH2022/8410,R,A,1,J2.5UT,6065
F80484,'',TH,USD,2022-12-03,TH2022/8411,R,A,1,J2.5UT,6065
F80485,'',TH,USD,2022-12-03,TH2022/8412,R,A,1,J2.5UT,6065
F80486,'',TH,USD,2022-12-03,TH2022/8413,R,A,1,J2.5UT,6065
F80487,'',TH,USD,2022-12-03,TH2022/8415,R,A,1,J2.5UT,6065
F80488,'',TH,USD,2022-12-03,TH2022/8416,R,A,1,J2.5UT,6065
F80489,'',TH,USD,2022-12-03,TH2022/8417,R,A,1,J3.0UT,6065
F80490,'',TH,USD,2022-12-03,TH2022/8418,R,A,1,J3.0UT,6065
F80491,'',TH,USD,2022-12-03,TH2022/8419,R,A,1,J3.0UT,6065
F80492,'',TH,USD,2022-12-03,TH2022/8420,R,A,1,J3.0UT,6065
F80497,'',VN,USD,2022-12-04,Y-U-04422,R,A,1,FB25RZ,17005
F80582,'',TH,USD,2022-12-05,'2022/8414',R,A,1,J2.5UT,6065
F80723,'',TH,USD,2022-12-05,ID2022/1598,R,A,2,,1255
F80587,'',TH,USD,2022-12-05,TH2022/8421,R,A,5,H4.0UT,6065
F81403,'',VN,USD,2022-12-06,Y-U-04522,R,A,2,MR16 961,17005
F81779,'',VN,USD,2022-12-09,Y-U-04622-1,R,A,1,FB25RZ,17005
F81780,'',VN,USD,2022-12-09,Y-U-04622-2,R,A,1,FB25RZ,17005
F82132,'',TW,USD,2022-12-11,HY-22H021,R,A,5,,81265
F82664,'',TW,USD,2022-12-13,YA-22Y159,R,A,2,FBR20SZ,810265
F82665,'',TW,USD,2022-12-13,YA-22Y160,R,A,2,FBR20SZ,810265
F82666,'',TW,USD,2022-12-13,YA-22Y161,R,A,2,FBR20SZ,810265
F82866,'',IN,USD,2022-12-14,'1200004003',R,A,2,MR25,
F86152,'',SG,USD,2022-12-21,Pilot Order 1,R,A,3,P3.0S,
F86153,'',SG,USD,2022-12-21,Pilot Order 2,R,A,3,P2.0S,
F87497,'',KR,USD,2022-12-25,'22122YKT1226',R,A,2,MTC13,816405
F87498,'',KR,USD,2022-12-25,'22122YKT1226',R,A,2,MTC13,816405
F87593,'',IN,USD,2022-12-27,EMLT/22-23/I00 4,R,A,3,MPC15,
F87594,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-02,R,A,3,MPC15,
F87595,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-03,R,A,3,MPC15,
F87596,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-04,R,A,3,MPC15,
F87597,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-05,R,A,3,MPC15,
F87598,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-06,R,A,3,MPC15,
F87599,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-07,R,A,3,MPC15,
F92391,'',AU,AUD,2023-01-10,'666',R,P,3,P2.0UTE,
F56320,'',TW,USD,2022-09-06,YA-22Y152,R,A,1,ERP35VL,810265
F56321,'',TW,USD,2022-09-06,YA-22Y153,R,A,1,ERP35VL,810265
F56330,'',PH,USD,2022-09-07,TRK-2093-22,R,A,2,FBR13SZ,808065
F56647,'',IN,USD,2022-09-08,'1200003854',R,A,3,MSL15XUX,
F56648,'',IN,USD,2022-09-08,'1200003854/B',R,A,3,MSL15XUX,
F56657,'',IN,USD,2022-09-08,'1200003855',R,A,1,ERP30UX,
F56659,'',IN,USD,2022-09-08,'1200003855/B',R,A,1,ERP30UX,
F56490,'',VN,USD,2022-09-08,'2522ST-MICHYG',R,A,2,N35ZDR3,16315
F56892,'',IN,USD,2022-09-09,'1200003859',R,A,1,ERP20UX,
F56893,'',IN,USD,2022-09-09,'1200003859/B',R,A,1,ERP20UX,
F56894,'',IN,USD,2022-09-09,'1200003859/C',R,A,1,ERP20UX,
F56895,'',IN,USD,2022-09-09,'1200003859/D',R,A,1,ERP20UX,
F56896,'',IN,USD,2022-09-09,'1200003859/E',R,A,1,ERP20UX,
F56897,'',IN,USD,2022-09-09,'1200003859/F',R,A,1,ERP20UX,
F56898,'',IN,USD,2022-09-09,'1200003859/G',R,A,1,ERP20UX,
F56899,'',IN,USD,2022-09-09,'1200003859/H',R,A,1,ERP20UX,
F56900,'',IN,USD,2022-09-09,'1200003859/I',R,A,1,ERP20UX,
F56901,'',IN,USD,2022-09-09,'1200003859/J',R,A,1,ERP20UX,
F56885,'',IN,USD,2022-09-09,'1200003860',R,A,3,MP20XUX,
F56886,'',IN,USD,2022-09-09,'1200003860/B',R,A,3,MP20XUX,
F56887,'',IN,USD,2022-09-09,'1200003860/C',R,A,3,MP20XUX,
F56888,'',IN,USD,2022-09-09,'1200003860/D',R,A,3,MP20XUX,
F56889,'',IN,USD,2022-09-09,'1200003860/E',R,A,3,MP20XUX,
F56890,'',IN,USD,2022-09-09,'1200003860/F',R,A,3,MP20XUX,
F57118,'',TH,USD,2022-09-12,ID2022/1525,R,A,1,J2.5UT,1255
F57120,'',TH,USD,2022-09-12,ID2022/1526,R,A,1,J2.5UT,1255
F57121,'',TH,USD,2022-09-12,ID2022/1527,R,A,1,J2.5UT,1255
F57122,'',TH,USD,2022-09-12,ID2022/1528,R,A,1,J2.5UT,1255
F57119,'',TH,USD,2022-09-12,ID2022/1529,R,A,1,J2.5UT,1255
F57042,'',ID,USD,2022-09-12,PT UNIVERSAL TRAKTOR,R,A,1,ERP30UX,804105
F58816,'',AU,AUD,2022-09-19,STOCKSEPT22-1,R,P,5,,
F28553,'',PH,USD,2022-06-02,TRK-2087-22,R,A,5,,
F27834,'',IN,USD,2022-06-01,'1200003714',R,A,2,MR16,
F28643,'',TH,USD,2022-06-03,TH2022/8271,R,A,5,H5.0UT,6065
F32973,'',BD,USD,2022-06-22,RFL34,R,A,5,,
F32974,'',BD,USD,2022-06-22,RFL35,R,A,5,,
F90209,'',MY,USD,2023-01-03,'3030033558-1',R,A,1,J3.0UT,11005
F90208,'',MY,USD,2023-01-03,'3030033558-2',R,A,5,H7.0UT6,11005
F90210,'',MY,USD,2023-01-03,'3030033559-1',R,A,3,T3.0UT,11005
F90219,'',MY,USD,2023-01-03,'3030033559-10',R,A,3,T3.0UT,11005
F90211,'',MY,USD,2023-01-03,'3030033559-2',R,A,3,T3.0UT,11005
F90212,'',MY,USD,2023-01-03,'3030033559-3',R,A,3,T3.0UT,11005
F90213,'',MY,USD,2023-01-03,'3030033559-4',R,A,3,T3.0UT,11005
F90214,'',MY,USD,2023-01-03,'3030033559-5',R,A,3,T3.0UT,11005
F90215,'',MY,USD,2023-01-03,'3030033559-6',R,A,3,T3.0UT,11005
F90216,'',MY,USD,2023-01-03,'3030033559-7',R,A,3,T3.0UT,11005
F90217,'',MY,USD,2023-01-03,'3030033559-8',R,A,3,T3.0UT,11005
F90218,'',MY,USD,2023-01-03,'3030033559-9',R,A,3,T3.0UT,11005
F90204,'',TH,USD,2023-01-03,TH2023/8422,R,A,5,,6065
F90205,'',TH,USD,2023-01-03,TH2023/8423,R,A,2,,6065
F90206,'',TH,USD,2023-01-03,TH2023/8424,R,A,2,,6065
F90207,'',TH,USD,2023-01-03,TH2023/8425,R,A,2,,6065
F90240,'',TH,USD,2023-01-04,TH2023/8426,R,A,5,H5.0UT,6065
F90372,'',TH,USD,2023-01-04,TH2023/8427,R,A,5,H3.5UT,6065
F90230,'',VN,USD,2023-01-04,Y-U-00123,R,A,3,MSL15WUX,17005
