'series','clazz','segment1','segment2'
'881',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'225',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'935',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'955',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'114',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'269',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'814',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'969',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'021',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'108',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'268',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'908',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'968',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'203',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'888',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'160',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'807',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'219',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'883',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'943',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'945',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'824',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'216',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'226',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'276',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'416',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'882',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'976',Class 1,C1 1-3.5T - Standard and Premium,C1 1-3.5T - Standard and Premium
'098',Class 1,C1 4-9T - Standard and Premium,C1 4-9T - Standard and Premium
'099',Class 1,C1 4-9T - Standard and Premium,C1 4-9T - Standard and Premium
'839',Class 1,C1 4-9T - Standard and Premium,C1 4-9T - Standard and Premium
'938',Class 1,C1 4-9T - Standard and Premium,C1 4-9T - Standard and Premium
'970',Class 1,C1 4-9T - Standard and Premium,C1 4-9T - Standard and Premium
'985',Class 1,C1 4-9T - Standard and Premium,C1 4-9T - Standard and Premium
'250',Class 1,C1 4-9T - Standard and Premium,C1 4-9T - Standard and Premium
'901',Class 1,C1 4-9T - Standard and Premium,C1 4-9T - Standard and Premium
'920',Class 1,C1 4-9T - Standard and Premium,C1 4-9T - Standard and Premium
'138',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'224',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'264',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'816',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'829',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'861',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'900',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'915',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'265',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'295',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'435',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'470',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'471',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'815',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'849',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'925',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'432',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'942',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'118',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'457',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'460',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'826',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'862',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'865',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'474',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'169',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'857',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'185',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'217',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'497',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'174',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'801',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'463',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'464',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'465',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'467',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'468',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'469',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'868',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'869',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'210',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'448',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'449',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'450',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'853',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'854',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'855',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'284',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'244',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'254',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'944',Class 2,C2 - Standard and Premium,C2 - Standard and Premium
'218',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'418',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'437',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'827',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'841',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'428',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'472',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'473',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'215',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'438',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'443',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'802',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'842',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'856',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'245',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'419',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'447',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'454',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'819',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'860',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'440',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'441',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'442',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'453',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'456',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'495',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'820',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'845',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'846',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'847',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'852',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'895',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'455',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'821',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'433',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'439',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'444',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'445',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'843',Class 2,C3 - Standard and Premium,C3 - Standard and Premium
'892',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'939',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'943a',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'978',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'979',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'858',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'230',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'262',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'292',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'478',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'896',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'904',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'828',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'135',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'229',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'894',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'231',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'897',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
'234',Class 2,C3 - Standard and Premium,C2 - Standard and Premium
