'order_no','aopmargin_percentage','series','bill_to','comment','ctry_code','currency','date','dealer_name','dealer_net','dealer_net_after_sur_charge','dealerpo','margin_after_sur_charge','margin_percentage_after_sur_charge','model','order_type','quantity','region','total_cost','truck_class','product_dimension'
H18877,0.0,A7R6,'880805','',IN,,2023-03-31,ELECTROMECH LIFT TRUCKS,5587.5,5587.5,EMLT/22-23/I0057-02,1648.3125,0.295,MSL15WUX,R,1,1,3939.1875,'3',256
H18876,0.0,A7R6,'880805','',IN,,2023-03-31,ELECTROMECH LIFT TRUCKS,5587.5,5587.5,EMLT/22-23/I0057,1648.3125,0.295,MSL15WUX,R,1,1,3939.1875,'3',256
H18874,0.0,A7S5,'880805','',IN,,2023-03-31,ELECTROMECH LIFT TRUCKS,9380.4,9380.4,EMLT/22-23/I0056-03,-384.5964,-0.041,ERP20UXT,R,1,1,9764.9964,'1',278
H18873,0.0,A7S5,'880805','',IN,,2023-03-31,ELECTROMECH LIFT TRUCKS,9380.4,9380.4,EMLT/22-23/I0056-02,-384.5964,-0.041,ERP20UXT,R,1,1,9764.9964,'1',278
H18872,0.0,A7S5,'880805','',IN,,2023-03-31,ELECTROMECH LIFT TRUCKS,17256.4,17256.4,EMLT/22-23/I0056-04,1449.5376,0.084,ERP20UXT,R,1,1,15806.862400000002,'1',278
H18871,0.0,A7S5,'880805','',IN,,2023-03-31,ELECTROMECH LIFT TRUCKS,9380.4,9380.4,EMLT/22-23/I0056,-384.5964,-0.041,ERP20UXT,R,1,1,9764.9964,'1',278
H18864,0.0,E861,'880805','',IN,,2023-03-31,ELECTROMECH LIFT TRUCKS,46783.2,46783.2,EMLT/22-23/I0055-02,7817.403006380247,0.1670985098578175,NDR035EC,R,1,1,38965.79699361975,'2',37
H18863,0.0,E861,'880805','',IN,,2023-03-31,ELECTROMECH LIFT TRUCKS,46783.2,46783.2,EMLT/22-23/I0055,7817.403006380247,0.1670985098578175,NDR035EC,R,1,1,38965.79699361975,'2',37
H18576,0.0,A921,'082065','',SG,,2023-03-30,PORTXGROUP PTY LTD,350658.225,350658.225,'0242-A',64871.771624999994,0.185,RS 45-31 CH,R,1,1,285786.453375,'5',288
H18575,0.0,A921,'082065','',SG,,2023-03-30,PORTXGROUP PTY LTD,350658.225,350658.225,'0242',64871.771624999994,0.185,RS 45-31 CH,R,1,1,285786.453375,'5',288
H15150,0.0,A7S4,'880805','',IN,,2023-03-28,ELECTROMECH LIFT TRUCKS,10057.0,10057.0,EMLT/22-23/I0054,854.845,0.085,ERP15UX,R,1,1,9202.155,'1',264
H15144,0.0,A7S6,'880805','',IN,,2023-03-28,ELECTROMECH LIFT TRUCKS,24024.5,24024.5,EMLT/22-23/I0053,5165.2675,0.215,GP50UX,R,1,1,18859.2325,'5',280
H14855,0.0,D852,'880805','',IN,,2023-03-27,ELECTROMECH LIFT TRUCKS,9269.5,9269.5,EMLT/22-23/I0049,2462.6940169055006,0.2656771149366741,MS16,R,1,1,6806.805983094499,'3',91
H14854,0.0,A7R3,'880805','',IN,,2023-03-27,ELECTROMECH LIFT TRUCKS,6139.25,6139.25,EMLT/22-23/I0048-06,853.3557500000001,0.139,MS15XUX,R,1,1,5285.89425,'3',255
H14853,0.0,A7R3,'880805','',IN,,2023-03-27,ELECTROMECH LIFT TRUCKS,6023.25,6023.25,EMLT/22-23/I0048-04,819.162,0.136,MS15XUX,R,1,1,5204.088,'3',255
H14852,0.0,A7R3,'880805','',IN,,2023-03-27,ELECTROMECH LIFT TRUCKS,6023.25,6023.25,EMLT/22-23/I0048-03,819.162,0.136,MS15XUX,R,1,1,5204.088,'3',255
H14851,0.0,A7R3,'880805','',IN,,2023-03-27,ELECTROMECH LIFT TRUCKS,6023.25,6023.25,EMLT/22-23/I0048-02,819.162,0.136,MS15XUX,R,1,1,5204.088,'3',255
H14850,0.0,A7R3,'880805','',IN,,2023-03-27,ELECTROMECH LIFT TRUCKS,6139.25,6139.25,EMLT/22-23/I0048-05,853.3557500000001,0.139,MS15XUX,R,1,1,5285.89425,'3',255
H14849,0.0,A7R3,'880805','',IN,,2023-03-27,ELECTROMECH LIFT TRUCKS,6023.25,6023.25,EMLT/22-23/I0048,819.162,0.136,MS15XUX,R,1,1,5204.088,'3',255
H14843,0.0,A6W9,'016315','',VN,,2023-03-27,MICO MACHINERY &,1068.0,1068.0,'0723ST-MICHYG10',354.576,0.332,PC1.5,R,1,1,713.424,'3',269
H14842,0.0,A6W9,'016315','',VN,,2023-03-27,MICO MACHINERY &,1068.0,1068.0,'0723ST-MICHYG9',354.576,0.332,PC1.5,R,1,1,713.424,'3',269
H14841,0.0,A6W9,'016315','',VN,,2023-03-27,MICO MACHINERY &,1068.0,1068.0,'0723ST-MICHYG8',354.576,0.332,PC1.5,R,1,1,713.424,'3',269
H14840,0.0,A6W9,'016315','',VN,,2023-03-27,MICO MACHINERY &,1068.0,1068.0,'0723ST-MICHYG7',354.576,0.332,PC1.5,R,1,1,713.424,'3',269
H14839,0.0,A6W9,'016315','',VN,,2023-03-27,MICO MACHINERY &,1068.0,1068.0,'0723ST-MICHYG6',354.576,0.332,PC1.5,R,1,1,713.424,'3',269
H14838,0.0,A6W9,'016315','',VN,,2023-03-27,MICO MACHINERY &,1068.0,1068.0,'0723ST-MICHYG5',354.576,0.332,PC1.5,R,1,1,713.424,'3',269
H14837,0.0,A6W9,'016315','',VN,,2023-03-27,MICO MACHINERY &,1068.0,1068.0,'0723ST-MICHYG4',354.576,0.332,PC1.5,R,1,1,713.424,'3',269
H14836,0.0,A6W9,'016315','',VN,,2023-03-27,MICO MACHINERY &,1068.0,1068.0,'0723ST-MICHYG3',354.576,0.332,PC1.5,R,1,1,713.424,'3',269
H14835,0.0,A6W9,'016315','',VN,,2023-03-27,MICO MACHINERY &,1068.0,1068.0,'0723ST-MICHYG2',354.576,0.332,PC1.5,R,1,1,713.424,'3',269
H14834,0.0,A6W9,'016315','',VN,,2023-03-27,MICO MACHINERY &,1068.0,1068.0,'0723ST-MICHYG1',354.576,0.332,PC1.5,R,1,1,713.424,'3',269
H14833,0.0,C225,'016315','',VN,,2023-03-27,MICO MACHINERY &,20615.3,20615.3,'0623ST-MICHYG',3133.5256,0.152,J2.5GX,R,1,1,17481.7744,'1',3
H14830,0.0,A3C1,'006065','',TH,,2023-03-27,'DILOK AND SONS CO.,LTD.',12851.589999999998,12851.589999999998,TH2023/8508,2698.8338999999996,0.21,H2.5UT,R,1,1,10152.756099999999,'5',258
H14829,0.0,A3C4,'006065','',TH,,2023-03-26,'DILOK AND SONS CO.,LTD.',25051.2,25051.2,TH2023/8507,3807.7824,0.152,J3.0UT,R,1,1,21243.4176,'1',263
H14828,0.0,A3C4,'006065','',TH,,2023-03-26,'DILOK AND SONS CO.,LTD.',25051.2,25051.2,TH2023/8506,3807.7824,0.152,J3.0UT,R,1,1,21243.4176,'1',263
H14827,0.0,A3C4,'006065','',TH,,2023-03-26,'DILOK AND SONS CO.,LTD.',24686.399999999998,24686.399999999998,TH2023/8505,3727.6463999999996,0.151,J3.0UT,R,1,1,20958.753599999996,'1',263
H14826,0.0,A3C4,'006065','',TH,,2023-03-26,'DILOK AND SONS CO.,LTD.',24686.399999999998,24686.399999999998,TH2023/8504,3727.6463999999996,0.151,J3.0UT,R,1,1,20958.753599999996,'1',263
H14825,0.0,A3C4,'006065','',TH,,2023-03-26,'DILOK AND SONS CO.,LTD.',23990.999999999996,23990.999999999996,TH2023/8503,3550.667999999999,0.148,J3.0UT,R,1,1,20440.332,'1',263
H14824,0.0,A3C4,'006065','',TH,,2023-03-26,'DILOK AND SONS CO.,LTD.',23990.999999999996,23990.999999999996,TH2023/8502,3550.667999999999,0.148,J3.0UT,R,1,1,20440.332,'1',263
H14823,0.0,A3C4,'006065','',TH,,2023-03-26,'DILOK AND SONS CO.,LTD.',23990.999999999996,23990.999999999996,TH2023/8501,3550.667999999999,0.148,J3.0UT,R,1,1,20440.332,'1',263
H14822,0.0,D466,'006065','',TH,,2023-03-24,'DILOK AND SONS CO.,LTD.',19436.774999999998,19436.774999999998,TH2023/8500,3751.2975749999996,0.193,H3.0XT,R,1,1,15685.477424999997,'5',187
H14645,0.0,A3C5,'006065','',TH,,2023-03-24,'DILOK AND SONS CO.,LTD.',13693.958,13693.958,TH2023/8499,2944.20097,0.215,J1.6UTT,R,1,1,10749.75703,'1',277
H14527,0.0,A7R1,'814065','',TH,,2023-03-23,JENBUNJERD CO LTD,5098.9,5098.9,POI2300235,1845.8017999999997,0.362,MP20XUX,R,1,1,3253.0982,'3',252
H14526,0.0,A7R1,'814065','',TH,,2023-03-23,JENBUNJERD CO LTD,5098.9,5098.9,POI2300234,1845.8017999999997,0.362,MP20XUX,R,1,1,3253.0982,'3',252
H14525,0.0,A7R1,'814065','',TH,,2023-03-23,JENBUNJERD CO LTD,5098.9,5098.9,POI2300233,1845.8017999999997,0.362,MP20XUX,R,1,1,3253.0982,'3',252
H14524,0.0,A7R1,'814065','',TH,,2023-03-23,JENBUNJERD CO LTD,5098.9,5098.9,POI2300232,1845.8017999999997,0.362,MP20XUX,R,1,1,3253.0982,'3',252
H14523,0.0,A7R1,'814065','',TH,,2023-03-23,JENBUNJERD CO LTD,5098.9,5098.9,POI2300231,1845.8017999999997,0.362,MP20XUX,R,1,1,3253.0982,'3',252
H14522,0.0,A7R1,'814065','',TH,,2023-03-23,JENBUNJERD CO LTD,5098.9,5098.9,POI2300230,1845.8017999999997,0.362,MP20XUX,R,1,1,3253.0982,'3',252
H14521,0.0,A7R1,'814065','',TH,,2023-03-23,JENBUNJERD CO LTD,5098.9,5098.9,POI2300229,1845.8017999999997,0.362,MP20XUX,R,1,1,3253.0982,'3',252
H14520,0.0,A7R1,'814065','',TH,,2023-03-23,JENBUNJERD CO LTD,5098.9,5098.9,POI2300228,1845.8017999999997,0.362,MP20XUX,R,1,1,3253.0982,'3',252
H14519,0.0,A7R1,'814065','',TH,,2023-03-23,JENBUNJERD CO LTD,5098.9,5098.9,POI2300227,1845.8017999999997,0.362,MP20XUX,R,1,1,3253.0982,'3',252
H14508,0.0,A3C1,'011005','',MY,,2023-03-22,SIME DARBY MATERIAL,14180.500000000002,14180.500000000002,'3030034652-3',3119.7100000000005,0.22,H3.0UT,R,1,1,11060.79,'5',258
