'id','class_','costrmb','dealer','dealer_net','description','list_price','margin_aop','model_code','month_year','option_code','plant','price_list_region','std_opt','currency_currency'
7802,Class 5 NOT BT,143881.12,'MICO MACHINERY & - HANOI, ',27629.0,H5.0UT6,39470.0,4715.42805608,H5.0UT6,2023-08-01,H50UT6_A3D0,Maximal,Hyster AP,BM,USD
7803,Class 5 NOT BT,6281.94948,'MICO MACHINERY & - HANOI, ',1664.0,'2 Stage Limited Free Lift Mast 236" Maximum Lift Height, 162" LoweredHeight ',2080.0,663.5775584868201,H5.0UT6,2023-08-01,V23662,Maximal,Hyster AP,'',USD
7804,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,Mitsubishi 5.0L Diesel  S6S-T 63.9kw / 85.5hp,0.0,0.0,H5.0UT6,2023-08-01,MT5DS6,Maximal,Hyster AP,'',USD
7805,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,Electronic Powershift 2 Speed Transmission,0.0,0.0,H5.0UT6,2023-08-01,UTPS2S,Maximal,Hyster AP,'',USD
7806,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,Brakes - Self Energizing Drum ,0.0,0.0,H5.0UT6,2023-08-01,DRAXDB,Maximal,Hyster AP,'',USD
7807,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,Key Switch Start,0.0,0.0,H5.0UT6,2023-08-01,SSKEIA,Maximal,Hyster AP,'',USD
7808,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,Standard (14° F to 104° F) ,0.0,0.0,H5.0UT6,2023-08-01,ST104F,Maximal,Hyster AP,'',USD
7809,Class 5 NOT BT,173.26769835,'MICO MACHINERY & - HANOI, ',48.0,Heavy Duty Air Intake with Precleaner ,60.0,20.406512600818278,H5.0UT6,2023-08-01,AIHWPC,Maximal,Hyster AP,'',USD
7810,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,Fuel Cap - Non Lockable,0.0,0.0,H5.0UT6,2023-08-01,ACFCNL,Maximal,Hyster AP,'',USD
7811,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',180.0,Overhead Exhaust ,225.0,18.0,H5.0UT6,2023-08-01,EXOVHD,Maximal,Hyster AP,'',USD
7812,Class 5 NOT BT,895.11732,'MICO MACHINERY & - HANOI, ',212.0,Operator Presence System,265.0,69.44943387938002,H5.0UT6,2023-08-01,OPPRSY,Maximal,Hyster AP,'',USD
7813,Class 5 NOT BT,174.386595,'MICO MACHINERY & - HANOI, ',0.0,'73" Hook Type Carriage',0.0,-27.7716756068325,H5.0UT6,2023-08-01,CAR73H,Maximal,Hyster AP,'',USD
7814,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,'48" Long Hook Type (2.6" x 6" ) Standard Tapered Forks ',0.0,0.0,H5.0UT6,2023-08-01,FH612A,Maximal,Hyster AP,'',USD
7815,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,'51.5" High Load Backrest',0.0,0.0,H5.0UT6,2023-08-01,LBR515,Maximal,Hyster AP,'',USD
7816,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,Mast Tilt - 3° Forward / 6° Back,0.0,0.0,H5.0UT6,2023-08-01,TI3F6B,Maximal,Hyster AP,'',USD
7817,Class 5 NOT BT,63.504945,'MICO MACHINERY & - HANOI, ',0.0,Mechanical Lever Hydraulic Controls - Cowl Mounted,0.0,-10.1133847585575,H5.0UT6,2023-08-01,MECYCC,Maximal,Hyster AP,'',USD
7818,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',-108.0,'2 Function (0 Auxiliary) Hydraulic Control Valve',-135.0,-10.8,H5.0UT6,2023-08-01,HCV2CB,Maximal,Hyster AP,'',USD
7819,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',-400.0,Without Hose Group,-500.0,-40.0,H5.0UT6,2023-08-01,HGNONE,Maximal,Hyster AP,'',USD
7820,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',500.0,'8.25-15NHS -Pneumatic Shaped Solid (PSS) -Dual Drive Tread  ',625.0,50.0,H5.0UT6,2023-08-01,DTNHPS,Maximal,Hyster AP,'',USD
7821,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',500.0,'8.25-15NHS -Pneumatic Shaped Solid (PSS) Steer Tire  ',625.0,50.0,H5.0UT6,2023-08-01,STPSS8,Maximal,Hyster AP,'',USD
7822,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,'96.5" Short Overhead Guard',0.0,0.0,H5.0UT6,2023-08-01,OHGS96,Maximal,Hyster AP,'',USD
7823,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,Mirrors - Dual Side View - Mounted on the Left and Right Side of Overhead Guard,0.0,0.0,H5.0UT6,2023-08-01,MIRDRV,Maximal,Hyster AP,'',USD
7824,Class 5 NOT BT,66.52899,'MICO MACHINERY & - HANOI, ',92.0,Rear Drive Handle with Horn Button,115.0,81.405025491035,H5.0UT6,2023-08-01,HNDLRD,Maximal,Hyster AP,'',USD
7825,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,Lever Shift Direction Control - Mounted on Left Hand Side of Steering Column,0.0,0.0,H5.0UT6,2023-08-01,DICOLV,Maximal,Hyster AP,'',USD
7826,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,Steering Wheel with Spinner Knob,0.0,0.0,H5.0UT6,2023-08-01,SWWISK,Maximal,Hyster AP,'',USD
7827,Class 5 NOT BT,346.75716,'MICO MACHINERY & - HANOI, ',156.0,Work Lights - LED - 2 Front and 1 Rear Rear Combination Lights - 2 Brake / Tail / Back-up Front and Rear Turn Signals,195.0,100.77770861994,H5.0UT6,2023-08-01,LL21BT,Maximal,Hyster AP,'',USD
7828,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',132.0,Visible Alarm - Amber LED Strobe - Keyswitch Activated - Does Not Increase Truck Height,165.0,13.200000000000001,H5.0UT6,2023-08-01,LASWKS,Maximal,Hyster AP,'',USD
7829,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',108.0,Audible Alarm - Reverse Direction Activated,135.0,10.8,H5.0UT6,2023-08-01,ALAAUR,Maximal,Hyster AP,'',USD
7830,Class 5 NOT BT,20.1603,'MICO MACHINERY & - HANOI, ',0.0,Parking Alarm ,0.0,-3.21059833605,H5.0UT6,2023-08-01,PRKALM,Maximal,Hyster AP,'',USD
7831,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,'Standard Warranty 12 Months / 2,000 Hours, Powertrain 36 Months / 3,000 Hours ',0.0,0.0,H5.0UT6,2023-08-01,WAP12D,Maximal,Hyster AP,'',USD
7832,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,English Literature Pack and Labels,0.0,0.0,H5.0UT6,2023-08-01,LITPEN,Maximal,Hyster AP,'',USD
7833,Class 5 NOT BT,0.0,'MICO MACHINERY & - HANOI, ',0.0,Fees & Surcharges,0.0,0.0,H5.0UT6,2023-08-01,A3D0,Maximal,Hyster AP,'',USD
7834,Class 5 NOT BT,64461.99,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',9727.2,GP25UX,17370.0,-538.5975244649981,GP25UX,2023-08-01,GP25UX_A7S1,Maximal,Yale AP,BM,USD
7835,Class 5 NOT BT,69761.99,'ELECTROMECH LIFT TRUCKS - PUNE, ',9224.25,GP30UX,18825.0,-1885.591074465001,GP30UX,2023-08-01,GP30UX_A7S1,Maximal,Yale AP,BM,USD
7836,Class 5 NOT BT,69761.99,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',10259.625,GP30UX,18825.0,-850.2160744650009,GP30UX,2023-08-01,GP30UX_A7S1,Maximal,Yale AP,BM,USD
7837,Class 5 NOT BT,69761.99,'PROPERTY DEVELOPMENT LTD. - NARSINDI, ',13177.5,GP30UX,18825.0,2067.658925534999,GP30UX,2023-08-01,GP30UX_A7S1,Maximal,Yale AP,BM,USD
7838,Class 5 NOT BT,64461.99,'DILOK AND SONS CO.,LTD. - SAMUTPRAKAN, ',10422.0,H2.5UT,17370.0,156.2024755350012,H2.5UT,2023-08-01,MH25UT_A3C1,Maximal,Hyster AP,BM,USD
7839,Class 5 NOT BT,64461.99,'PORTXGROUP (PNG) LTD - LAE, ',11464.2,H2.5UT,17370.0,1198.402475535002,H2.5UT,2023-08-01,MH25UT_A3C1,Maximal,Hyster AP,BM,USD
7840,Class 5 NOT BT,64461.99,'SIME DARBY MATERIAL - PUCHONG, SELANGOR, ',10422.0,H2.5UT,17370.0,156.2024755350012,H2.5UT,2023-08-01,MH25UT_A3C1,Maximal,Hyster AP,BM,USD
7841,Class 5 NOT BT,-8058.536403312,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',-1772.3,Engine -Xinchai 2.67L Diesel 4D27G31 ,-2395.0,-488.94987289515234,GP25UX,2023-08-01,EDX27L,Maximal,Yale AP,Opt,USD
7842,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Powershift 1 Speed Transmission,0.0,0.0,GP25UX,2023-08-01,UTPS1T,Maximal,Yale AP,Std,USD
7843,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Drum Brakes,0.0,0.0,GP25UX,2023-08-01,DRAXDB,Maximal,Yale AP,Std,USD
7844,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Key Switch Start,0.0,0.0,GP25UX,2023-08-01,SSKEIA,Maximal,Yale AP,Std,USD
7845,Class 5 NOT BT,1341.12666900912,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',277.5,Operator Presence System,375.0,63.92088401695611,GP25UX,2023-08-01,OPPRSY,Maximal,Yale AP,Std,USD
7846,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Counterweight Net,0.0,0.0,GP25UX,2023-08-01,CTWTNT,Maximal,Yale AP,Std,USD
7847,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,High Air Intake,0.0,0.0,GP25UX,2023-08-01,AIHWOP,Maximal,Yale AP,Std,USD
7848,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Horizontal Exhaust,0.0,0.0,GP25UX,2023-08-01,EXCTWT,Maximal,Yale AP,Std,USD
7849,Class 5 NOT BT,2502.49943691798,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',525.4,'4500mm 3 Stage Full Free Lift Mast (2060mm Lowered Height)',710.0,126.86820592278247,GP25UX,2023-08-01,E2045A,Maximal,Yale AP,Opt,USD
7850,Class 5 NOT BT,2447.745889848,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',506.9,'1040mm Hook Type Integral Sideshift Carriage',685.0,117.08789993109156,GP25UX,2023-08-01,IS1040,Maximal,Yale AP,Opt,USD
7851,Class 5 NOT BT,38.30457,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',7.4,'40 x 122 x 1220mm Hook Type Standard Tapered Forks',10.0,1.2998631615050007,GP25UX,2023-08-01,SNF122,Maximal,Yale AP,Opt,USD
7852,Class 5 NOT BT,117.316762145379,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',22.2,'940mm Load Backrest',30.0,3.5168950196808844,GP25UX,2023-08-01,'940LBR',Maximal,Yale AP,Opt,USD
