'id','clazz','costrmb','description','model_code','month_year','part_number','plant','price_list_region','series_code','std_opt','currency_currency'
209409,Class 5 BT,1736974.218,RS 45-27 CH 921 Model,RS 45-27 CH 921,2023-08-01,RS429A_A921,Maximal,Hyster AP,A921,BM,USD
209410,Class 5 BT,1742067.789,RS 45-31 CH 921 Model,RS 45-31 CH 921,2023-08-01,RS439C_A921,Maximal,Hyster AP,A921,BM,USD
209411,Class 5 BT,0.0,Cummins QSL 9L Tier 3 / Stage III Diesel Engine: Rated Power 304hp (227kW) @ 2000 rpm - Peak Power 331hp (247kW) @1500 rpm,RS 45-31 CH 921,2023-08-01,CQSL9D,Maximal,Hyster AP,A921,Std,USD
209412,Class 5 BT,0.0,SOH TE-27 4-Speed Transmission with 4 Speeds Forward and 4 Speeds Reverse,RS 45-31 CH 921,2023-08-01,TRTE27,Maximal,Hyster AP,A921,Std,USD
209413,Class 5 BT,0.0,Oil-immersed Wet Disc Brakes,RS 45-31 CH 921,2023-08-01,DAWBE3,Maximal,Hyster AP,A921,Std,USD
209414,Class 5 BT,0.0,Steer Axle with Full Stroke for tight turning radius,RS 45-31 CH 921,2023-08-01,SAFSTR,Maximal,Hyster AP,A921,'',USD
209415,Class 5 BT,0.0,Steer Axle with Reduced Stroke for longer tire life,RS 45-31 CH 921,2023-08-01,SARSLT,Maximal,Hyster AP,A921,Std,USD
209416,Class 5 BT,0.0,Fuel Cap - Non-lockable,RS 45-31 CH 921,2023-08-01,ACFCNL,Maximal,Hyster AP,A921,Std,USD
209417,Class 5 BT,0.0,Fuel Cap - Lockable,RS 45-31 CH 921,2023-08-01,ACFCLO,Maximal,Hyster AP,A921,'',USD
209418,Class 5 BT,0.0,Unconditional Travel Speed Limiter pre-set to 16km/h,RS 45-31 CH 921,2023-08-01,SPC011,Maximal,Hyster AP,A921,'',USD
209419,Class 5 BT,0.0,Unconditional Travel Speed Limiter pre-set to 20km/h,RS 45-31 CH 921,2023-08-01,SPC012,Maximal,Hyster AP,A921,'',USD
209420,Class 5 BT,0.0,Conditional Travel Speed Limiter on Twistlock Closed Condition pre-set to 20km/h - Adjustable,RS 45-31 CH 921,2023-08-01,TSL12A,Maximal,Hyster AP,A921,Std,USD
209421,Class 5 BT,0.0,Empty Seat Engine Shutdown,RS 45-31 CH 921,2023-08-01,SDESTA,Maximal,Hyster AP,A921,'',USD
