'id','add_warranty','blended_discount_percentage','cost_uplift','dealer_net','duty','freight','full_cost_aop_rate','full_monthly_rate','li_ion_included','manufacturing_cost','manufacturing_cost_aop','manufacturing_cost_monthly','manufacturing_costrmb','margin','margin_aop_rate','margin_monthly_rate','margin_percent_aop_rate','margin_percent_monthly_rate','model_code','month_year','surcharge','total_cost','total_costrmb','total_list_price','warranty','currency_currency'
1102,0.0,0.4389,0.0,9804.9,0.0,0.0,0.0,9843.0917,false,0.0,0.0,0.0,65347.8926,-38.1917,0.1484,0.0,0.0,-0.0039,GP25UX,2023-08-01,0.015,0.0,66328.111,17475.0,0.0,USD
1103,0.0,0.455,0.0,30778.875,0.0,0.0,0.0,31523.9085,false,0.0,0.0,0.0,209285.97,-745.0335,0.1484,0.0,0.0,-0.0242,GP30UX,2023-08-01,0.015,0.0,212425.2596,56475.0,0.0,USD
1104,0.0,0.4,0.0,31266.0,0.0,0.0,0.0,29128.9551,false,0.0,0.0,0.0,193385.97,2137.0449,0.1484,0.0,0.0,0.0684,H2.5UT,2023-08-01,0.015,0.0,196286.7596,52110.0,0.0,USD
1105,0.0,0.4075,0.0,11624.775,0.0,0.0,0.0,10937.5407,false,0.0,0.0,0.0,72613.8959,687.2343,0.1484,0.0,0.0,0.0591,H3.0UT,2023-08-01,0.015,0.0,73703.1043,19620.0,0.0,USD
1106,0.0,0.2911,0.0,30713.0,0.0,0.0,0.0,22880.51,false,0.0,0.0,0.0,151902.7925,7832.49,0.1484,0.0,0.0,0.255,H5.0UT6,2023-08-01,0.015,0.0,154181.3344,43325.0,0.0,USD
1107,0.0,0.2332,0.0,23173.875,0.0,0.0,0.0,17136.0981,false,0.0,0.0,0.0,79187.8767,6037.7769,0.2132,0.0,0.0,0.2605,GP25UX,2023-08-01,0.015,0.0,80375.6949,30220.0,0.0,AUD
1108,0.0,0.26,0.0,21300.9,0.0,0.0,0.0,15655.1445,false,0.0,0.0,0.0,72344.22,5645.7555,0.2132,0.0,0.0,0.265,GP35UX,2023-08-01,0.015,0.0,73429.3833,28785.0,0.0,AUD
1109,0.0,0.2701,0.0,58575.2,0.0,0.0,0.0,36089.7484,false,0.0,0.0,0.0,166774.8702,22485.4516,0.2132,0.0,0.0,0.3839,GP70UX6,2023-08-01,0.015,0.0,169276.4933,80250.0,0.0,AUD
1110,0.0,0.25,0.0,70305.0,0.0,0.0,0.0,55797.7828,false,0.0,0.0,0.0,257847.96,14507.2172,0.2132,0.0,0.0,0.2063,H2.5UT,2023-08-01,0.015,0.0,261715.6794,93740.0,0.0,AUD
1111,0.0,0.1961,0.0,24801.25,0.0,0.0,0.0,17844.6396,false,0.0,0.0,0.0,82462.1282,6956.6104,0.2132,0.0,0.0,0.2805,H3.0UT,2023-08-01,0.015,0.0,83699.0601,30850.0,0.0,AUD
1112,0.0,0.4389,0.0,9804.9,0.0,0.0,10406.8806,0.0,false,0.0,0.0,0.0,65347.8926,-601.9806,0.1569,0.0,-0.0614,0.0,GP25UX,2023-01-28,0.015,0.0,66328.111,17475.0,0.0,USD
1113,0.0,0.455,0.0,30778.875,0.0,0.0,33329.5232,0.0,false,0.0,0.0,0.0,209285.97,-2550.6482,0.1569,0.0,-0.0829,0.0,GP30UX,2023-01-28,0.015,0.0,212425.2596,56475.0,0.0,USD
1114,0.0,0.4,0.0,31266.0,0.0,0.0,30797.3926,0.0,false,0.0,0.0,0.0,193385.97,468.6074,0.1569,0.0,0.015,0.0,H2.5UT,2023-01-28,0.015,0.0,196286.7596,52110.0,0.0,USD
1115,0.0,0.4075,0.0,11624.775,0.0,0.0,11564.0171,0.0,false,0.0,0.0,0.0,72613.8959,60.7579,0.1569,0.0,0.0052,0.0,H3.0UT,2023-01-28,0.015,0.0,73703.1043,19620.0,0.0,USD
1116,0.0,0.2911,0.0,30713.0,0.0,0.0,24191.0514,0.0,false,0.0,0.0,0.0,151902.7925,6521.9486,0.1569,0.0,0.2124,0.0,H5.0UT6,2023-01-28,0.015,0.0,154181.3344,43325.0,0.0,USD
1117,0.0,0.2332,0.0,23173.875,0.0,0.0,17353.1125,0.0,false,0.0,0.0,0.0,79187.8767,5820.7625,0.2159,0.0,0.2512,0.0,GP25UX,2023-01-28,0.015,0.0,80375.6949,30220.0,0.0,AUD
1118,0.0,0.26,0.0,21300.9,0.0,0.0,15853.4039,0.0,false,0.0,0.0,0.0,72344.22,5447.4961,0.2159,0.0,0.2557,0.0,GP35UX,2023-01-28,0.015,0.0,73429.3833,28785.0,0.0,AUD
1119,0.0,0.2701,0.0,58575.2,0.0,0.0,36546.7949,0.0,false,0.0,0.0,0.0,166774.8702,22028.4051,0.2159,0.0,0.3761,0.0,GP70UX6,2023-01-28,0.015,0.0,169276.4933,80250.0,0.0,AUD
1120,0.0,0.25,0.0,70305.0,0.0,0.0,56504.4152,0.0,false,0.0,0.0,0.0,257847.96,13800.5848,0.2159,0.0,0.1963,0.0,H2.5UT,2023-01-28,0.015,0.0,261715.6794,93740.0,0.0,AUD
1121,0.0,0.1961,0.0,24801.25,0.0,0.0,18070.6271,0.0,false,0.0,0.0,0.0,82462.1282,6730.6229,0.2159,0.0,0.2714,0.0,H3.0UT,2023-01-28,0.015,0.0,83699.0601,30850.0,0.0,AUD
