'order_no','aopmargin_percentage','booking_margin_percentage_after_sur_charge','ctry_code','date','dealer_name','dealer_net','dealer_net_after_sur_charge','margin_after_sur_charge','margin_percentage_after_sur_charge','model','netrevenue','quantity','serial_number','series','total_cost','currency','product_dimension','region'
F59746,0.0,0.0,MY,2023-01-04,Sime Darby Materia,0.0,0.0,0.0,0.0,R1.6HD,30708.800000000003,1,D435T09123W,,23707.989999999998,,,
F59747,0.0,0.0,MY,2023-01-04,Sime Darby Materia,0.0,0.0,0.0,0.0,R1.6HD,30708.800000000003,1,D435T09122W,,23707.989999999998,,,
F59748,0.0,0.0,MY,2023-01-04,Sime Darby Materia,0.0,0.0,0.0,0.0,R1.6HD,30708.800000000003,1,D435T09121W,,23708.0,,,
F59743,0.0,0.0,MY,2023-01-04,Sime Darby Materia,0.0,0.0,0.0,0.0,R1.6HD,30708.800000000003,1,D435T09127W,,23522.530000000002,,,
F59742,0.0,0.0,MY,2023-01-04,Sime Darby Materia,0.0,0.0,0.0,0.0,R1.6HD,30708.800000000003,1,D435T09126W,,23522.530000000002,,,
F59744,0.0,0.0,MY,2023-01-04,Sime Darby Materia,0.0,0.0,0.0,0.0,R1.6HD,30708.800000000003,1,D435T09125W,,23522.530000000002,,,
F59745,0.0,0.0,MY,2023-01-04,Sime Darby Materia,0.0,0.0,0.0,0.0,R1.6HD,30708.800000000003,1,D435T09124W,,23522.530000000002,,,
F54554,0.0,0.0,PH,2023-01-04,HYSTER FORKLIFT PH,0.0,0.0,0.0,0.0,P2.0UTS,4015.5,1,A3B1H02262W,,2581.9,,,
E41015,0.0,0.0,AU,2023-01-04,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,GP25UX,14356.24,1,A7S1A06464W,,12689.17,,,
F72026,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,0.0,0.0,MPC15,958.0699999999999,1,A3D4M07531W,,686.15,,,
F72028,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,0.0,0.0,MPC15,958.0699999999999,1,A3D4M07534W,,685.17,,,
F72029,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,0.0,0.0,MPC15,958.0699999999999,1,A3D4M07535W,,685.17,,,
F72030,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,0.0,0.0,MPC15,958.0699999999999,1,A3D4M07536W,,685.17,,,
F72031,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,0.0,0.0,MPC15,958.0699999999999,1,A3D4M07537W,,685.17,,,
F72032,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,0.0,0.0,MPC15,958.0699999999999,1,A3D4M07538W,,686.15,,,
F72033,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,0.0,0.0,MPC15,958.0699999999999,1,A3D4M07539W,,686.15,,,
F72034,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,0.0,0.0,MPC15,958.0699999999999,1,A3D4M07540W,,686.15,,,
F72035,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,0.0,0.0,MPC15,958.0699999999999,1,A3D4M07541W,,686.15,,,
F72036,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,0.0,0.0,MPC15,958.0699999999999,1,A3D4M07542W,,686.15,,,
F72037,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,0.0,0.0,MPC15,958.0699999999999,1,A3D4M07532W,,686.15,,,
F25579,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UTT,20286.699999999997,1,A3C5A01996W,,16025.92,,,
F25580,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UTT,20286.699999999997,1,A3C5A01997W,,16025.92,,,
F48371,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UT,17575.0,1,A3C4A04411W,,14251.880000000001,,,
F48377,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UT,17575.0,1,A3C4A04427W,,14251.880000000001,,,
F48379,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UT,17575.0,1,A3C4A04419W,,14251.880000000001,,,
F48380,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UT,17575.0,1,A3C4A04420W,,14251.880000000001,,,
F48381,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UT,17575.0,1,A3C4A04422W,,14251.880000000001,,,
F48382,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UT,17575.0,1,A3C4A04423W,,14251.880000000001,,,
F48383,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UT,17575.0,1,A3C4A04424W,,14251.880000000001,,,
F09345,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UTT,19711.989999999998,1,A3C5A01973W,,15846.93,,,
F09346,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UTT,19711.989999999998,1,A3C5A01974W,,15846.93,,,
F48374,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UT,17572.199999999997,1,A3C4A04412W,,14249.08,,,
F48375,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UT,17572.199999999997,1,A3C4A04413W,,14249.08,,,
F48376,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UT,17572.199999999997,1,A3C4A04417W,,14249.08,,,
F48378,0.0,0.0,MY,2023-01-06,Sime Darby Materia,0.0,0.0,0.0,0.0,J1.8UT,17572.199999999997,1,A3C4A04421W,,14249.08,,,
F15040,0.0,0.0,PF,2023-01-09,SOPADEP SA,0.0,0.0,0.0,0.0,H2.5UT,16255.5,1,A3C1A13187W,,11493.82,,,
F15041,0.0,0.0,PF,2023-01-09,SOPADEP SA,0.0,0.0,0.0,0.0,H3.0UT,16981.43,1,A3C1A12797W,,12017.67,,,
F15043,0.0,0.0,PF,2023-01-09,SOPADEP SA,0.0,0.0,0.0,0.0,H2.5UT,16255.5,1,A3C1A13188W,,11493.82,,,
F15044,0.0,0.0,PF,2023-01-09,SOPADEP SA,0.0,0.0,0.0,0.0,H3.0UT,16981.43,1,A3C1A12798W,,12017.67,,,
F00459,0.0,0.0,PF,2023-01-09,SOPADEP SA,0.0,0.0,-11292.91,-Infinity,H2.0UT,15732.0,1,A3C1A13183W,,11292.91,,,
F00460,0.0,0.0,PF,2023-01-09,SOPADEP SA,0.0,0.0,-11493.82,-Infinity,H2.5UT,15940.6,1,A3C1A13184W,,11493.82,,,
F00461,0.0,0.0,PF,2023-01-09,SOPADEP SA,0.0,0.0,-12017.67,-Infinity,H3.0UT,16651.88,1,A3C1A12796W,,12017.67,,,
F00463,0.0,0.0,PF,2023-01-09,SOPADEP SA,0.0,0.0,-11493.82,-Infinity,H2.5UT,15940.6,1,A3C1A13185W,,11493.82,,,
F54553,0.0,0.0,PH,2023-01-04,HYSTER FORKLIFT PH,0.0,0.0,-2582.56,-Infinity,P2.0UTS,4015.5,1,A3B1H02261W,,2582.56,,,
F00462,0.0,0.0,PF,2023-01-09,SOPADEP SA,0.0,0.0,-12066.26,-Infinity,H3.5UT,16727.0,1,A3C1A12799W,,12066.26,,,
F72027,0.0,0.0,TH,2023-01-05,JENBUNJERD CO LTD.,0.0,0.0,-685.53,-Infinity,MPC15,958.0699999999999,1,A3D4M07533W,,685.53,,,
F68717,0.0,0.0,VN,2023-01-05,MICO Machinery and,0.0,0.0,-16246.36,-Infinity,J2.5GX,20615.33,1,C225R10397W,,16246.36,,,
F71692,0.0,0.0,VN,2023-01-06,KY LUC CO. LTD,0.0,0.0,-15178.8,-Infinity,FBR18SZ,20058.83,1,C900R35782W,,15178.8,,,
F71691,0.0,0.0,VN,2023-01-06,KY LUC CO. LTD,0.0,0.0,-15758.81,-Infinity,GP30MX,20832.870000000003,1,D871R17182W,,15758.81,,,
F04448,0.0,0.0,TW,2023-01-10,TA YIH MATERIALS H,0.0,0.0,0.0,0.0,ERP45VM,51184.950000000004,1,A985B02977W,,38646.22,,,
E40980,0.0,0.0,AU,2023-01-10,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,GP25UX,12540.56,1,A7S1A05682W,,12255.84,,,
F14091,0.0,0.0,ID,2023-01-11,DILOK & SONS CO. L,0.0,0.0,0.0,0.0,N35ZDR3,41155.9,1,E264N03355W,,33229.91,,,
F14092,0.0,0.0,ID,2023-01-11,DILOK & SONS CO. L,0.0,0.0,0.0,0.0,N35ZDR3,41155.9,1,E264N03350W,,33229.91,,,
